id,lastLogOff,timeCreated,accountAge,accountAgePersonal,nrOfGamesOwned,totalNumberOfGamesPlayedFriends,meanNumberOfPGameslayedFriends,nrOfGamesPlayed,totalPlaytime,nrOfFriends,totalPlaytimeFriends,meanPlaytimeFriends,totalNrOfGamesOwnedFriends,meanNrOfGamesOwnedFriends,totalAccountAgeFriends,meanAccountAgeFriends,totalAccountAgeFriendsPersonal,meanAccountAgeFriendsPersonal
7.656119808763715e+16,1511731810.0,1364656388.0,147500776.0,147075422.0,42.0,606.0,86.57142857142857,28.0,16697.0,7.0,1217434.0,173919.14285714287,822.0,117.42857142857143,1361967368.0,194566766.85714287,1349948706.0,192849815.14285713
7.656119823337803e+16,1511478164.0,1434209653.0,77947511.0,77268511.0,40.0,248.0,35.42857142857143,37.0,144685.0,7.0,751611.0,107373.0,394.0,56.285714285714285,1424876089.0,203553727.0,1418570402.0,202652914.57142857
7.656119811708627e+16,1510976414.0,1386306857.0,125850307.0,124669557.0,2.0,46.0,4.181818181818182,2.0,2509.0,11.0,120854.0,10986.727272727272,97.0,8.818181818181818,1283646387.0,116695126.0909091,1273115725.0,115737793.18181819
7.656119819647648e+16,1511313218.0,1431624041.0,80533123.0,79689177.0,10.0,390.0,43.333333333333336,2.0,13400.0,9.0,1708456.0,189828.44444444444,568.0,63.111111111111114,1253934410.0,139326045.55555555,1245562226.0,138395802.8888889
7.656119804865416e+16,1511099747.0,1315904649.0,196252515.0,195195098.0,50.0,1125.0,187.5,44.0,63053.0,6.0,549773.0,91628.83333333333,2235.0,372.5,1061447769.0,176907961.5,1057315009.0,176219168.16666666
7.656119834980365e+16,1511813172.0,1481153374.0,31003790.0,30659798.0,6.0,24.0,3.4285714285714284,5.0,70289.0,7.0,531227.0,75889.57142857143,34.0,4.857142857142857,211305043.0,30186434.714285713,201227846.0,28746835.14285714
7.65611983035287e+16,1508406724.0,1462977832.0,49179332.0,45428892.0,23.0,360.0,27.692307692307693,16.0,123209.0,13.0,1582367.0,121720.53846153847,480.0,36.92307692307692,865340660.0,66564666.15384615,838920803.0,64532369.461538464
7.6561198042753e+16,1510789216.0,1307122754.0,205034410.0,203666462.0,895.0,31183.0,198.61783439490446,657.0,441772.0,157.0,54995743.0,350291.3566878981,51759.0,329.6751592356688,27641015997.0,176057426.73248407,27439027378.0,174770875.01910827
7.65611982570437e+16,1511454072.0,1445776007.0,66381157.0,65678065.0,20.0,213.0,35.5,18.0,26394.0,6.0,542687.0,90447.83333333333,311.0,51.833333333333336,815126219.0,135854369.83333334,802888469.0,133814744.83333333
7.656119831135642e+16,1511896801.0,1465833117.0,46324047.0,46063684.0,21.0,303.0,16.833333333333332,9.0,54194.0,18.0,2057131.0,114285.05555555556,404.0,22.444444444444443,1240648452.0,68924914.0,1231166547.0,68398141.5
7.656119828757237e+16,1511228874.0,1456974498.0,55182666.0,54254376.0,3.0,264.0,44.0,3.0,55069.0,6.0,652678.0,108779.66666666667,350.0,58.333333333333336,1294214963.0,215702493.83333334,1277465138.0,212910856.33333334
